,Mineral Name,RRUFF Chemistry (plain),IMA Chemistry (plain),Chemistry Elements,IMA Number,RRUFF IDs,Country of Type Locality,Year First Published,IMA Status,Structural Groupname,Fleischers Groupname,Status Notes,Crystal Systems,Space Groups,Oldest Known Age (Ma),Valence Elements,Paragenetic Modes
412,Bario-olgite,"Na(Na,Sr,Ce)2Ba(PO4)2","Na(Na,Sr,Ce)2Ba(PO4)2",Na Sr Ce Ba P O,IMA2003-002,R060614,Russia,2003,Approved,Aphthitalite, ,"Pekov I V, Chukanov N V, Kulikova I M, Zubkova N V, Krotova O D, Sorokina N I, Pushcharovskii D Y (2004) New mineral bario-olgite, Ba(Na,Sr,REE)<sub>2</sub>Na[PO<sub>4</sub>]<sub>2</sub> and its crystal structure, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 133(1), 41-49",hexagonal,P3,370.0,Na Sr Ce Ba P O,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
413,Bario-orthojoaquinite,Ba4Fe2+2Ti4+2O2(SiO3)8·H2O,Ba4Fe2+2Ti2O2(SiO3)8·H2O,Ba Fe Ti O Si H,IMA1979-081,nan,USA,1979,Approved,Joaquinite,joaquinite,"Wise W S (1982) Strontiojoaquinite and bario-orthojoaquinite: two new members of the joaquinite group, American Mineralogist 67, 809-816",orthorhombic,Ccmm,5.3,Ba Fe^2+ Ti^4+ O Si H,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
414,Barioperovskite,BaTi4+O3,BaTiO3,Ba Ti O,IMA2006-040,R110180,USA,2006,Approved,Perovskite, ,"Ma C, Rossman G R (2008) Barioperovskite, BaTiO<sub>3</sub>, a new mineral from the Benitoite mine, California, American Mineralogist 93, 154-157",orthorhombic,Amm2,5.3,Ba Ti^4+ O,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism"
415,Bariopharmacoalumite,Ba0.5Al4(As5+O4)3(OH)4·4H2O,Ba0.5Al4[(AsO4)3(OH)4]·4H2O,Ba Al As O H,IMA2010-041,nan,France,2010,Approved,Pharmacosiderite, ,"Mills S J, Rumsey M S, Favreau G, Spratt J, Raudsepp M, Dini M (2011) Bariopharmacoalumite, a new mineral species from Cap Garonne, France and Mina Grande, Chile, Mineralogical Magazine 75, 135-144",cubic|tetragonal,P-43m|I-42m,252.0,Ba Al As^5+ O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
416,Bariopharmacosiderite,Ba0.5Fe3+4(As5+O4)3(OH)4·5H2O,Ba0.5Fe3+4(AsO4)3(OH)4·5H2O,Ba Fe As O H,nan,R060571,Germany,1966,"Approved,Redefined",Pharmacosiderite,pharmacosiderite,"Walenta K (1966) Beiträge zur Kenntnis seltener Arsenatmineralien unter besonderer Berücksichtigung von Vorkommen des Schwarzwaldes. Tschermaks Mineralogische und Petrographische Mitteilungen 11, 121-164

Name changed from barium-pharmacosiderite:
Burke E A J (2008) Tidying up mineral names: an IMA-CNMNC scheme for suffixes, hyphens and diacritical marks, The Mineralogical Record 39, 131-135",cubic|tetragonal,P-42m|P-43m,1610.0,Ba Fe^3+ As^5+ O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
417,Bariosincosite,Ba(V4+O)2(PO4)2·4H2O,Ba(VO)2(PO4)2·4H2O,Ba V O P H,IMA1998-047,nan,Australia,1998,Approved, , ,"Pring A, Kolitsch U, Birch W D, Beyer B D, Elliott P, Ayyappan P, Ramanan A (1999) Bariosincosite, a new hydrated barium vanadium phosphate, from the Spring Creek Mine, South Australia, Mineralogical Magazine 63, 735-741",monoclinic|tetragonal,Pn,323.2,Ba V^4+ O P H,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
418,Barlowite,Cu2+4BrF(OH)6,Cu4BrF(OH)6,Cu Br F O H,IMA2010-020,R110007,Australia,2010,Approved,Claringbullite, ,"Elliott P, Cooper M A, Pring A (2014) Barlowite, Cu_4_FBr(OH)_6_, a new mineral isostructural with claringbullite: description and crystal structure. Mineralogical Magazine 78, 1755-1762",hexagonal,P6_3/mmc,1575.0,Cu^2+ Br F O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
419,Barnesite,Na2V5+6O16·3H2O,Na2V5+6O16·3H2O,Na V O H,nan,R060883,USA,1963,Approved,Hewettite, ,"Weeks A D, Ross D R, Marvin R F (1963) The occurrence and properties of barnesite, Na<sub>2</sub>V<sub>6</sub>O<sub>16</sub>·3H<sub>2</sub>O, a new hydrated sodium vanadate mineral from Utah, American Mineralogist 48, 1187-1195",monoclinic,P2_1,260.0,Na V^5+ O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
420,Barquillite,Cu1+2Cd2+Ge4+S2-4,"Cu2(Cd,Fe)GeS4",Cu Cd Fe Ge S,IMA1996-050,nan,Spain,1996,Approved,"Sphalerite, Stannite",stannite,"Murciego A, Pascua M I, Babkine J, Dusausoy Y, Medenbach O, Bernhardt H J (1999) Barquillite, Cu<sub>2</sub>(Cd,Fe)GeS<sub>4</sub>, a new mineral from the Barquilla deposit, Salamanca, Spain, European Journal of Mineralogy 11, 111-117",tetragonal,I-42m,,Cu^1+ Cd^2+ Ge^4+ S^2-,"Abiotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits"
421,Barrerite,Na2(Al2Si7)O18·6H2O,Na2(Si7Al2)O18·6H2O,Na Si Al O H,IMA1974-017,R050135,Italy,1974,Approved,Stilbite,zeolite,"Passaglia E, Pongiluppi D (1975) Barrerite, a new natural zeolite, Mineralogical Magazine 40, 208-208",orthorhombic,Amma|Fmmm,300.0,Na Al Si O H,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals"
422,Barringerite,Fe2P,"(Fe,Ni)2P",Fe Ni P,IMA1968-037,R070439,Bolivia,1968,Approved,Barringerite, ,"Buseck P R (1969) Phosphide from meteorites: Barringerite, a new iron-nickel mineral, Science 165, 169-171",hexagonal,P-62m|P321,4620.0,Fe P,"Abiotic, Biotic, Primary; Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
423,Barroisite,[box]NaCa[Mg3Al2](Si7Al)O22(OH)2,[box](NaCa)(Mg3Al2)(Si7Al)O22(OH)2,Na Ca Mg Al Si O H,nan,nan,Austria,1922,"Approved,Redefined",Amphibole,amphibole-group 3 Na-Ca,"Murgoci G (1922) Sur la classification des amphiboles bleues et de certaines hornblendes, Comptes Rendus Hebdomadaires des Séances de l’Académie des Sciences 175, 426-429

Redefined by the IMA nomenclature commission:
Leake B E, Woolley A R, Arps C E S, Birch W D, Gilbert M C, Grice J D, Hawthorne F C, Kato A, Kisch H J, Krivovichev V G, Linthout K, Laird J, Mandarino J A, Maresch W V, Nickel E H, Rock N M S, Schumacher J C, Smith D C, Stephenson N C N, Ungaretti L, Whittaker E J W, Youzhi G (1997) Nomenclature of amphiboles: Report of the subcommittee on amphiboles of the International Mineralogical Association, commission on new minerals and mineral names, The Canadian Mineralogist 35, 219-246",monoclinic,C2/m,1000.0,Na Ca Mg Al Si O H,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, PM41 - Mantle metasomatism"
424,Barrotite,Cu2+9Al(HSiO4)2(S6+O4)(HAs5+O4)0.5(OH)12·8H2O,Cu9Al(HSiO4)2[(SO4)(HAsO4)0.5](OH)12·8H2O,Cu Al H Si O S As,IMA2011-063a,nan,France,2011,Approved,Chalcophyllite, ,"Sarp H, Černý R, Pushcharovsky D Y, Schouwink P, Teyssier J, Williams P A, Babalik H, Mari G (2014) La barrotite, Cu_9_Al(HSiO_4_)_2_[(SO_4_)(HAsO_4_)_0.5_](OH)_12_·8H_2_O, un nouveau mineéral de la mine de Roua (Alpes-Maritimes, France). Riviéra Scientifique 98, 3-22",hexagonal,P3_1,251.0,Cu^2+ Al H Si O S^6+ As^5+,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
425,Barrydawsonite-(Y),Na1.5Y3+0.5CaSi3O9H,Na1.5Y0.5CaSi3O9H,Na Y Ca Si O H,IMA2014-042,nan,Canada,2014,Approved,Pectolite, ,"Mitchell R H, Welch M D, Kampf A R, Chakhmouradian A K, Spratt J (2015) Barrydawsonite-(Y), Na_1.5_CaY_0.5_Si_3_O_9_H: a new pyroxenoid of the pectolite-serandite group. Mineralogical Magazine 79, 671-68",monoclinic,P2_1/a,,Na Y^3+ Ca Si O H,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
426,Barstowite,Pb2+4CO3Cl6·H2O,Pb4(CO3)Cl6·H2O,Pb C O Cl H,IMA1989-057,nan,United Kingdom,1989,Approved, , ,"Stanley C J, Jones G C, Hart A D (1991) Barstowite, 3PbCl<sub>2</sub>·PbCO<sub>3</sub>·H<sub>2</sub>O, a new mineral from Bounds Cliff, St Endellion, Cornwall, Mineralogical Magazine 55, 121-125",monoclinic,P2_1/m,443.0,Pb^2+ C O Cl H,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals, PM57 - Other minerals formed by human processes"
427,Bartelkeite,Pb2+Fe2+Ge(Ge2O7)(OH)2·H2O,PbFe2+Ge(Ge2O7)(OH)2·H2O,Pb Fe Ge O H,IMA1979-029,R070114,Namibia,1979,Approved,Lawsonite, ,"Keller V P, Hess H, Dunn P J (1981) Bartelkeit, PbFe^2+^Ge_3_O_8_, ein neues Germanium-Mineral von Tsumeb, Namibia. Chemie der Erde 40, 201-206

Chemical formula revised from PbFe^2+^Ge_3_O_8_ to PbFeGe<sup>VI</sup>(Ge<sup>IV</sup><sub>2</sub>O<sub>7</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O:
Origlieri M J, Yang H, Downs R T, Posner E S, Domanik K J, Pinch W W (2012) The crystal structure of bartelkeite, with a revised chemical formula, PbFeGe<sup>VI</sup>(Ge<sup>IV</sup><sub>2</sub>O<sub>7</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O, isotypic with high-pressure P2_1_/m lawsonite, American Mineralogist 97, 1812-1815",monoclinic,P2_1/m,541.0,Pb^2+ Fe^2+ Ge O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
428,Bartonite,K6Fe20S26S,K6Fe20S26S,K Fe S,IMA1977-039,nan,USA,1977,Approved,Djerfisherite,djerfisherite,"Czamanske G K, Erd R C, Leonard B F, Clark J R (1981) Bartonite, a new potassium iron sulfide mineral, American Mineralogist 66, 369-375",tetragonal,I4/mmm,1160.0,K Fe S,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
429,Barwoodite,"Mn2+6(Nb5+,[box])2(SiO4)2(O,OH)6","Mn2+6(Nb5+,[box])2(SiO4)2(O,OH)6",Mn Nb Si O H,IMA2017-046,nan,USA,2017,Approved,Welinite, ,"Kampf A R, Celestian A J, Nash B P (2018) Barwoodite, Mn^2+^_6_(Nb^5+^,[box])_2_(SiO_4_)_2_(O,OH)_6_, a new member of the welinite group from Granite Mountain, Arkansas. The Canadian Mineralogist 56, 799-809",hexagonal,P3,99.0,Mn^2+ Nb^5+ Si O H,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
430,Barylite,BaBe2Si2O7,BaBe2Si2O7,Ba Be Si O,nan,R060606 R060620,Sweden,1876,"Approved,Redefined", , ,"Blomstrand C W (1876) Bidrag till kännedomen af Långbans-grufvans mineralier. B) Barylith, ett nytt mineral från Långban, Geologiska Föreningens i Stockholm Förhandlingar 3, 123-133",orthorhombic|monoclinic,"Pmn2_1|Pm, Pn2_1a, Pnma",1825.0,Ba Be Si O,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
431,Barysilite,Pb2+8Mn2+(Si2O7)3,Pb8Mn(Si2O7)3,Pb Mn Si O,nan,R050002 R070651 R100057,Sweden,1888,"Approved,Grandfathered", , ,"Sjögren A, Lundström C H (1888) Om barysil, ett ej förr uppmärksammadt blysilikat från Harstigsgrufvan, Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar 45, 7-11",hexagonal,R-3c,1898.0,Pb^2+ Mn^2+ Si O,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
432,Baryte,BaS6+O4,Ba(SO4),Ba S O,nan,R040036 R050342 R050335 R050375,?,1778,Approved,Baryte,celestine,"Bras-de-Fer L (1778) (84) Terre (Élément), in Explication Morale du Jeu de Cartes; Anecdote Curieuse et Interessante, (Bruxelles) 99-100

Spelling of name is formally defined:
International Mineralogical Association (1971) International Mineralogical Association: Commission on new minerals and mineral names, Mineralogical Magazine 38, 102-105",orthorhombic,Pnma|Pbnm,4567.61,Ba S^6+ O,"Abiotic, Biotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, PM17 - Marine authigenic Hadean minerals, Stage 4a: Earth's earliest continental crust, PM20 - Acidic volcanic rocks, PM24 - Authigenic minerals in terrestrial sediments, PM25 - Evaporites (prebiotic), PM32 - Ba-Mn-Pb-Zn metamorphics, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM46 - Near-surface hydrothermal alterations, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization, PM50 - Coal and/or oil shale minerals, PM53 - Other minerals with taphonomic origins, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals, PM55 - Anthropogenic mine minerals"
433,Barytocalcite,BaCa(CO3)2,BaCa(CO3)2,Ba Ca C O,nan,R050288 R120099,United Kingdom,1824,"Approved,Grandfathered", , ,"Brooke H J, Children J G (1824) On baryto-calcite, The Annals of Philosophy 8, 114-116",monoclinic,P2_1|P2_1/m,2070.0,Ba Ca C O,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
434,Barytolamprophyllite,(BaK)Ti4+2Na3Ti4+(Si2O7)2O2(OH)2,(BaK)Ti2Na3Ti(Si2O7)2O2(OH)2,Ba K Ti Na Si O H,nan,R120087,Russia,1959,"Approved,Redefined",Seidozerite-Lamprophyllite,lamprophyllite,"Dudkin O B (1959) On barytolamprophyllite, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 6, 713-715

Chemical formula redefined:
Sokolova E (2006) From structure topology to chemical composition. I. Structural hierarchy and stereochemistry in titanium disilicate minerals, The Canadian Mineralogist 44, 1273-1330",monoclinic,C2/m,2615.0,Ba K Ti^4+ Na Si O H,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
435,Bassanite,CaS6+O4·0.5H2O,Ca(SO4)·0.5H2O,Ca S O H,nan,nan,Italy,1910,"Approved,Grandfathered",Rhabdophane, ,"Zambonini F (1910) Mineralogia Vesuviana. Bassanite CaSO<sub>4</sub>, Atti della Reale Accademia delle Scienze Fisiche e Matematiche di Napoli, Serie II 14, 327-328",monoclinic|hexagonal,"I2|P3_121, C2, P3_221, B2",1180.0,Ca S^6+ O H,"Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM21 - Chemical precipitation, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
436,Bassetite,Fe2+(U6+O2)2(PO4)2(H2O)10,Fe2+(UO2)2(PO4)2(H2O)10,Fe U O P H,nan,R080027,United Kingdom,1915,"Approved,Grandfathered", ,autunite,"Hallimond A F (1915) On bassetite and uranospathite, new species hitherto classed as autunite, Mineralogical Magazine 17, 221-236

Chemical formula revised from Fe^2+^(UO_2_)_2_(PO_4_)_2_·8H_2_O:
Dal Bo F, Hatert F, Mees F, Philippo S, Baijot M, Fontaine F (2016) Crystal structure of bassetite and saléeite: new insight into autunite-group minerals. European Journal of Mineralogy 28, 663-675",monoclinic|tetragonal,P2_1/m,1840.0,Fe^2+ U^6+ O P H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
437,Bassoite,SrV4+3O7·4H2O,SrV4+3O7·4H2O,Sr V O H,IMA2011-028,nan,Italy,2011,Approved,Not in a structural group, ,"Bindi L, Carbone C, Cabella R, Lucchetti G (2011) Bassoite, SrV<sub>3</sub>O<sub>7</sub>·4H<sub>2</sub>O, a new mineral from Molinello mine, Val Graveglia, eastern Liguria, Italy, Mineralogical Magazine 75, 2677-2686",monoclinic,P2_1/m,100.0,Sr V^4+ O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
438,Bastnäsite-(Ce),CeCO3F,Ce(CO3)F,Ce C O F,IMA1966 s.p.,R050409 R060359 R060629 R060550 R060737,Sweden,1841,"Approved,Renamed",Bastnäsite, ,"Huot J J N (1841) Genre. Lanthane. 2 Espèce, Bastnaesite, in Manuels-Roret. Nouveau Manuel Complet de Minéralogie, Première Partie, (Paris) 296-296

Name changed from bastnasite:
Levinson A A (1966) A system of nomenclature for rare-earth minerals, American Mineralogist 51, 152-158",hexagonal,P-62c,2858.0,Ce C O F,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM23 - Subaerial alteration, PM26 - Hadean detrital minerals, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals"
439,Bastnäsite-(La),LaCO3F,La(CO3)F,La C O F,IMA1966 s.p.,R070142,Russia,1966,"Approved,Renamed",Bastnäsite,Bastnäsite,"Name defined for the La dominant phase:
Levinson A A (1966) A system of nomenclature for rare-earth minerals, American Mineralogist 51, 152-158",hexagonal,P-62m|P-62c,2500.0,La C O F,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
440,Bastnäsite-(Nd),NdCO3F,Nd(CO3)F,Nd C O F,IMA2011-062,nan,Norway,2011,Approved,Bastnäsite, ,"Miyawaki R, Yokoyama K, Husdal T (2013) Bastnäsite-(Nd), a new Nd-dominant member of the bastnäsite group from the Stetind pegmatite, Tysfjord, Nordland, Norway. European Journal of Mineralogy 25, 187-191",hexagonal,P-62c,1788.0,Nd C O F,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites"
441,Bastnäsite-(Y),YCO3F,Y(CO3)F,Y C O F,nan,nan,Kazakhstan,1970,Approved,Bastnäsite,Bastnäsite,"Mineev D A, Lavrishcheva T I, Bykova A V (1970) Yttrian bastnaesite, a product of the alteration of gagarinite, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 99, 328-332",hexagonal,nan,566.0,Y C O F,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks"
442,Batagayite,"CaZn2+2(Zn2+,Cu2+)6(PO4)4[PO3(OH)]3·12H2O","CaZn2(Zn,Cu)6(PO4)4[PO3(OH)]3·12H2O",Ca Zn Cu P O H,IMA2017-002,nan,Russia,2017,Approved,Not in a structural group, ,"Yakovenchuk V N, Pakhomovsky Y A, Konopleva N G, Panikorovskii T L, Bazai A, Mikhailova J A, Bocharov V N, Ivanyuk G Y, Krivovichev S V (2018) Batagayite, CaZn_2_(Zn,Cu)_6_(PO_4_)_4_(PO_3_OH)_3_·12H_2_O, a new phosphate mineral from Këster tin deposit (Yakutia, Russia): occurrence and crystal structure. Mineralogy and Petrology 112, 591-601",monoclinic,P2_1,,Ca Zn^2+ Cu^2+ P O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
443,Batievaite-(Y),Ca2Y3+2[(H2O)2[box]]Ti4+(Si2O7)2(OH)2(H2O)2,Ca2Y2[(H2O)2[box]]Ti(Si2O7)2(OH)2(H2O)2,Ca Y H O Ti Si,IMA2015-016,nan,Russia,2015,"Approved,Redefined",Seidozerite-Rinkite, ,"Lyalina L M, Zolotarev A A, Selivanova E A, Savchenko Y E, Krivovichev S V, Mikhailova Y A, Kadyrova G I, Zozulya D R (2016) Batievaite-(Y), Y_2_Ca_2_Ti[Si_2_O_7_]_2_(OH)_2_(H_2_O)_4_, a new mineral from nepheline syenite pegmatite in the Sakharjok massif, Kola Peninsula, Russia. Mineralogy and Petrology 110, 895-904",triclinic,P-1,2680.0,Ca Y^3+ H O Ti^4+ Si,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
444,Batiferrite,BaTi4+2Fe3+8Fe2+2O19,BaTi2Fe3+8Fe2+2O19,Ba Ti Fe O,IMA1997-038,nan,Germany,1997,Approved,Magnetoplumbite,plumboferrite,"Lengauer C L, Tillmanns E, Hentschel G (2001) Batiferrite, Ba[Ti<sub>2</sub>Fe<sub>10</sub>]O<sub>19</sub>, a new ferrimagnetic magnetoplumbite-type mineral from the Quaternary volcanic rocks of the western Eifel area, Germany, Mineralogy and Petrology 71, 1-19",hexagonal,P6_3/mmc,354.0,Ba Ti^4+ Fe^3+ Fe^2+ O,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
445,Batisite,Na2BaTi4+2(Si4O12)O2,Na2BaTi2O2(Si2O6)2,Na Ba Ti O Si,nan,nan,Russia,1960,Approved,Batisite, ,"Kravchenko S M, Vlasova E V, Pinevich N G (1960) Batisite - a new mineral, Doklady Akademii Nauk SSSR 133, 657-660",orthorhombic,Ima2|Imcm,500.0,Na Ba Ti^4+ Si O,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
446,Batisivite,BaTi4+6V3+8Si2O29,"BaTi6(V,Cr)8(Si2O7)O22",Ba Ti V Cr Si O,IMA2006-054,nan,Russia,2006,Approved, , ,"Reznitsky L Z, Sklyarov E V, Armbruster T, Galuskin E V, Ushchapovskaya Z F, Polekhovsky Y S, Karmanov N S, Kashaev A A, Barash I G (2007) Batisivite, V<sub>8</sub>Ti<sub>6</sub>[Ba(Si<sub>2</sub>O)]O<sub>28</sub> - a new mineral species of the derbylite group, Zapiski Rossiiskogo Mineralogicheskogo Obshchetstva 136(5), 65-75",triclinic|monoclinic,P-1,541.0,Ba Ti^4+ V^3+ Si O,"Biotic, Secondary; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins"
447,Baumhauerite,Pb2+12As3+16S2-36,Pb12As16S36,Pb As S,nan,R050429,Switzerland,1902,"Approved,Grandfathered",Sartorite, ,"Solly R H (1902) Sulpharsenites of lead from the Binnenthal. Part III. Baumhauerite, a new mineral; and dufrenoysite, Mineralogical Magazine 13, 151-171",triclinic,P-1|P1,2816.0,Pb^2+ As^3+ S^2-,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
448,Baumhauerite II,Pb2+3As3+4S2-9,Pb3As4S9,Pb As S,nan,nan,Switzerland,1959,"Approved,Questionable mineral species",Sartorite, ,"Rösch H, Hellner E (1959) Hydrothermale Untersuchungen am System PbS - As<sub>2</sub>S<sub>3</sub>, Naturwissenschaften 46, 72-72",triclinic,P-1,245.0,Pb^2+ As^3+ S^2-,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
449,Baumoite,Ba0.5[(U6+O2)3O8Mo6+2(OH)3](H2O)3,Ba0.5[(UO2)3O8Mo2(OH)3](H2O)3,Ba U O Mo H,IMA2017-054,nan,Australia,2017,Approved,Not in a structural group, ,"Elliott P, Plášil J, Petříček V, Čejka J, Bindi L (2019) Twinning and incomensurate modulation in baumoite, Ba_0.5_[(UO_2_)_3_O_8_Mo_2_(OH)_3_](H_2_O)_~3_, the first natural Ba uranyl molybdate. Mineralogical Magazine 83, 507-514",monoclinic,nan,25.0,Ba U^6+ O Mo^6+ H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
450,Baumstarkite,Ag3Sb3S6,Ag3Sb3S6,Ag Sb S,IMA1999-049,nan,Peru,1999,Approved,Aramayoite, ,"Effenberger H, Paar W H, Topa D, Criddle A J, Fleck M (2002) The new mineral baumstarkite and a structural reinvestigation of aramayoite and miargyrite, American Mineralogist 87, 753-764",triclinic,P-1,338.0,Ag Sb S,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
451,Bauranoite,BaU6+2O7·4-5H2O,BaU2O7·4-5H2O,Ba U O H,IMA1971-052,nan,Russia,1971,Approved,Wölsendorfite, ,"Rogova V P, Belova L N, Kiziyarov G N, Kuznetsova N N (1973) Bauranoite and metacaltsuranoite [metacalciouranoite] - new minerals of the group of hydrous uranium oxides, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 102(1), 75-81",nan,nan,142.0,Ba U^6+ O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
